City,Location,Area,BHK,CarParking,Price
Banglore,Kengeri,1656,3,1,6787000
Banglore,Horamavu,1629,3,1,9319000
Banglore,Horamavu,1237,2,1,6892000
Banglore,Bommanahalli,1275,2,1,9277000
Banglore,Bommanahalli,1615,3,1,11600000
Banglore,Bommanahalli,1515,3,1,10900000
Banglore,Bommanahalli,1455,3,1,10500000
Banglore,Bommanahalli,1360,3,1,9859000
Banglore,Ramamurthy Nagar,1409,3,1,6973999
Banglore,Ramamurthy Nagar,1139,2,1,5705000
Banglore,Ramamurthy Nagar,1154,2,1,5772000
Banglore,Ramamurthy Nagar,1353,3,1,6720999
Banglore,Ramamurthy Nagar,1362,3,1,6761000
Banglore,Ramamurthy Nagar,1133,2,1,5677000
Banglore,Ramamurthy Nagar,1068,2,1,5384000
Banglore,Whitefield Hope Farm Junction,1540,3,0,9141000
Banglore,Whitefield Hope Farm Junction,1610,3,0,9522000
Banglore,Whitefield Hope Farm Junction,1715,3,0,10000000
Banglore,Whitefield Hope Farm Junction,1195,2,0,7211000
Banglore,Whitefield Hope Farm Junction,1425,3,0,8514000
Banglore,Whitefield Hope Farm Junction,1760,3,0,10300000
Banglore,Whitefield Hope Farm Junction,1300,2,0,7783000
Banglore,Whitefield Hope Farm Junction,1235,2,0,7429000
Banglore,Whitefield Hope Farm Junction,1305,2,0,7809999
Banglore,Electronic City Phase 1,660,1,1,3506000
Banglore,Electronic City Phase 1,1120,2,1,6250000
Banglore,Electronic City Phase 1,1120,2,1,6250000
Banglore,Electronic City Phase 1,715,1,1,3797999
Banglore,Electronic City Phase 1,715,1,1,3797999
Banglore,Electronic City Phase 1,910,2,1,5034000
Banglore,Electronic City Phase 1,910,2,1,5034000
Banglore,Electronic City Phase 1,1430,3,1,7897000
Banglore,Electronic City Phase 1,1430,3,1,7897000
Banglore,Electronic City Phase 1,965,2,1,5327000
Banglore,Electronic City Phase 1,965,2,1,5327000
Banglore,Electronic City Phase 1,1500,3,1,8269000
Banglore,Electronic City Phase 1,1500,3,1,8269000
Banglore,Electronic City Phase 1,1065,2,1,5958000
Banglore,Electronic City Phase 1,1065,2,1,5958000
Banglore,Yelahanka,1273,2,1,6900000
Banglore,Yelahanka,1705,3,1,9700000
Banglore,Yelahanka,1304,2,1,7300000
Banglore,Anjanapura,1700,3,1,9180000
Banglore,Carmelaram,1277,2,0,6986000
Banglore,Carmelaram,1111,2,0,6081000
Banglore,Carmelaram,1443,3,0,7891000
Banglore,Carmelaram,1109,2,0,6070000
Banglore,Carmelaram,1089,2,0,5961000
Banglore,Carmelaram,1544,3,0,8442000
Banglore,Carmelaram,1647,3,0,9003000
Banglore,Carmelaram,1082,2,0,5923000
Banglore,Carmelaram,1128,2,0,6174000
Banglore,Carmelaram,1095,2,0,5994000
Banglore,Carmelaram,1496,3,0,8180000
Banglore,Carmelaram,1401,3,0,7662000
Banglore,Horamavu,1538,3,1,8763000
Banglore,Horamavu,1573,3,1,8957000
Banglore,Horamavu,1181,2,1,6581000
Banglore,Horamavu,1687,3,1,9640000
Banglore,Horamavu,1196,2,1,6664000
Banglore,Horamavu,1190,2,1,6631000
Banglore,Horamavu,1766,3,1,10000000
Banglore,Horamavu,1730,3,1,9879000
Banglore,Horamavu,1532,3,1,8529000
Banglore,Jalahalli,1305,2,0,7252000
Banglore,Jalahalli,1645,3,0,9037000
Banglore,Jalahalli,1315,2,0,7298000
Banglore,Jalahalli,1950,3,0,10400000
Banglore,Jalahalli,1750,3,0,9520000
Banglore,Jalahalli,1300,2,0,7229000
Banglore,Jalahalli,1830,3,0,9887000
Banglore,Jalahalli,1935,3,0,10300000
Banglore,Jalahalli,1285,2,0,7159999
Banglore,Jalahalli,2010,3,0,10700000
Banglore,Jalahalli,1615,3,0,8900000
Banglore,Jalahalli,1720,3,0,9382000
Banglore,Jalahalli,1325,2,0,7344000
Banglore,Jalahalli,1270,2,0,7091000
Banglore,Kasavanahalli,1320,3,1,6279000
Banglore,Kasavanahalli,1100,2,1,5306000
Banglore,Kasavanahalli,1405,3,1,6655000
Banglore,Kasavanahalli,1075,2,1,5195000
Banglore,Kasavanahalli,1140,2,1,5483000
Banglore,Kasavanahalli,1150,2,1,5527000
Banglore,Kasavanahalli,1350,3,1,6412000
Banglore,Kasavanahalli,1265,3,1,6036000
Banglore,Kasavanahalli,1015,2,1,4930000
Banglore,Kasavanahalli,1395,3,1,6611000
Banglore,Kasavanahalli,1070,2,1,5173000
Banglore,Kasavanahalli,1270,3,1,6058000
Banglore,Kasavanahalli,1320,3,1,6279000
Banglore,Kasavanahalli,1050,2,1,5085000
Banglore,Kasavanahalli,1355,3,1,6434000
Banglore,Kasavanahalli,1090,2,1,5262000
Banglore,Whitefield Hope Farm Junction,1485,3,0,6681999
Banglore,Whitefield Hope Farm Junction,1450,3,0,6525000
Banglore,Whitefield Hope Farm Junction,1555,3,0,6997000
Banglore,Whitefield Hope Farm Junction,1355,3,0,6097000
Banglore,Whitefield Hope Farm Junction,1360,3,0,6120000
Banglore,Whitefield Hope Farm Junction,1365,3,0,6142000
Banglore,Whitefield Hope Farm Junction,1495,3,0,6727000
Banglore,Whitefield Hope Farm Junction,1395,3,0,6277000
Banglore,Whitefield Hope Farm Junction,1500,3,0,6750000
Banglore,Whitefield Hope Farm Junction,1435,3,0,6456999
Banglore,Bommasandra,1310,3,1,5240000
Banglore,Bommasandra,1030,2,1,4120000
Banglore,Bellandur,1275,3,1,7012000
Banglore,Bellandur,1490,3,1,8195000
Banglore,RR Nagar,1706,3,1,8050000
Banglore,RR Nagar,1258,2,1,5900000
Banglore,RR Nagar,1723,3,1,8100000
Banglore,RR Nagar,1369,2,1,6400000
Banglore,RR Nagar,1335,2,1,6275000
Banglore,Whitefield Hope Farm Junction,2000,3,0,14400000
Banglore,Whitefield Hope Farm Junction,1900,3,0,13700000
Banglore,Whitefield Hope Farm Junction,1560,3,0,11399999
Banglore,Begur,1097,2,0,4500000
Banglore,Bommasandra,1310,3,1,5240000
Banglore,Bommasandra,1030,2,1,4120000
Banglore,JP Nagar Phase 1,3300,4,0,29600000
Banglore,Varthur,1216,2,1,8954000
Banglore,Varthur,1195,2,1,8800000
Banglore,Varthur,2321,3,1,15400000
Banglore,Varthur,1655,3,1,11000000
Banglore,Uttarahalli,1505,3,0,5267000
Banglore,Uttarahalli,1002,2,0,3507000
Banglore,Uttarahalli,1376,3,0,4816000
Banglore,Uttarahalli,1232,2,0,4312000
Banglore,Uttarahalli,1513,3,0,5295000
Banglore,Uttarahalli,1056,2,0,3696000
Banglore,Uttarahalli,1183,2,0,4140000
Banglore,Uttarahalli,1095,2,0,3832000
Banglore,Uttarahalli,965,2,0,3377000
Banglore,Uttarahalli,1303,3,0,4560000
Banglore,Uttarahalli,1433,3,0,5015000
Banglore,Uttarahalli,1077,2,0,3769000
Banglore,Uttarahalli,985,2,0,3447000
Banglore,Uttarahalli,1416,3,0,4956000
Banglore,Uttarahalli,1521,3,0,5323000
Banglore,Uttarahalli,1130,2,0,3954999
Banglore,Uttarahalli,977,2,0,3419000
Banglore,Uttarahalli,1529,3,0,5351000
Banglore,Uttarahalli,1267,3,0,4434000
Banglore,Hosa Road,1725,3,1,9453000
Banglore,Sahakar Nagar,1795,2,1,15000000
Banglore,Sahakar Nagar,1000,1,1,8900000
Banglore,Sahakar Nagar,1740,2,1,14400000
Banglore,Sahakar Nagar,1490,2,1,12700000
Banglore,Sahakar Nagar,1320,3,1,12500000
Banglore,Sahakar Nagar,2330,4,1,20099999
Banglore,Sahakar Nagar,2165,3,1,18800000
Banglore,Sahakar Nagar,1645,2,1,13700000
Banglore,Sahakar Nagar,1985,3,1,18900000
Banglore,Avalahalli Off Sarjapur Road,1616,3,1,8500000
Banglore,Hosa Road,1541,3,0,9000000
Banglore,Varthur,1515,3,0,9300000
Banglore,Uttarahalli,1690,3,0,11000000
Banglore,Bilekahalli,1770,3,1,18000000
Banglore,Bilekahalli,3012,4,1,29300000
Banglore,Bilekahalli,2370,3,1,22799999
Banglore,R T  Nagar,700,1,0,3200000
Banglore,R T  Nagar,700,1,0,3200000
Banglore,JP Nagar Phase 7,1335,2,0,11000000
Banglore,Subramanyapura,1690,3,0,9800000
Banglore,JP Nagar Phase 4,4282,4,1,42500000
Banglore,Sahakar Nagar,1500,3,1,13500000
Banglore,JP Nagar Phase 7,1880,3,0,15600000
Banglore,Sahakar Nagar,1985,3,1,18900000
Banglore,Sahakar Nagar,1795,2,1,15400000
Banglore,Sahakar Nagar,1410,2,1,12300000
Banglore,JP Nagar Phase 8,1042,2,1,6845999
Banglore,JP Nagar Phase 8,1408,3,1,9173000
Banglore,JP Nagar Phase 8,1455,3,1,9471000
Banglore,JP Nagar Phase 8,1105,2,1,7247000
Banglore,Amruthahalli,1120,2,0,5599000
Banglore,Sahakar Nagar,1345,1,1,11800000
Banglore,Horamavu,1107,2,0,4815000
Banglore,Horamavu,1122,2,0,4880000
Banglore,Horamavu,1161,2,0,5050000
Banglore,Horamavu,1062,2,0,4619000
Banglore,Horamavu,1100,2,0,4785000
Banglore,Horamavu,1143,2,0,4972000
Banglore,Horamavu,1089,2,0,4737000
Banglore,Horamavu,1116,2,0,4854000
Banglore,Banashankari,3033,4,1,28300000
Banglore,Banashankari,2378,3,1,21400000
Banglore,Banashankari,2522,3,1,23500000
Banglore,Banashankari,3205,4,1,29900000
Banglore,RR Nagar,1376,2,1,9200000
Banglore,RR Nagar,1168,2,1,8000000
Banglore,RR Nagar,1373,2,1,9200000
Banglore,RR Nagar,1168,2,1,8000000
Banglore,RR Nagar,1168,2,1,8000000
Banglore,RR Nagar,1376,2,1,9300000
Banglore,RR Nagar,1168,2,1,7900000
Banglore,RR Nagar,1376,2,1,9200000
Banglore,RR Nagar,1373,2,1,9100000
Banglore,RR Nagar,1373,2,1,9000000
Banglore,RR Nagar,1168,2,1,7900000
Banglore,RR Nagar,1160,2,1,7900000
Banglore,RR Nagar,1168,2,1,8000000
Banglore,RR Nagar,1160,2,1,7800000
Banglore,RR Nagar,1373,2,1,9200000
Banglore,RR Nagar,1376,2,1,9100000
Banglore,RR Nagar,1373,2,1,9100000
Banglore,RR Nagar,1373,2,1,9000000
Banglore,RR Nagar,1168,2,1,7900000
Banglore,RR Nagar,1373,2,1,8800000
Banglore,Kengeri,1140,3,1,3990000
Banglore,Kengeri,1149,3,1,4021000
Banglore,Kengeri,1168,3,1,4088000
Banglore,Begur,1275,2,0,9060000
Banglore,Begur,1210,2,0,8644000
Banglore,Begur,1240,2,0,8836000
Banglore,Begur,1450,3,0,10200000
Banglore,Begur,1192,2,0,8528000
Banglore,Begur,1190,2,0,8516000
Banglore,Begur,1235,2,0,8804000
Banglore,Begur,1400,3,0,9910000
Banglore,Ramamurthy Nagar,1606,3,0,7634000
Banglore,Ramamurthy Nagar,1239,2,0,5970000
Banglore,Ramamurthy Nagar,1615,3,0,7675000
Banglore,Ramamurthy Nagar,1180,2,0,5702000
Banglore,Ramamurthy Nagar,1292,2,0,6210000
Banglore,Attibele,900,2,0,2520000
Banglore,Attibele,1180,3,0,3304000
Banglore,Attibele,1075,3,0,3010000
Banglore,Attibele,1000,2,0,2800000
Banglore,Attibele,880,2,0,2464000
Banglore,Kadugodi,1185,2,0,5557000
Banglore,Kadugodi,2540,3,0,11900000
Banglore,Kadugodi,1650,3,0,7738000
Banglore,Kadugodi,1355,2,0,6354000
Banglore,Kadugodi,600,1,0,2814000
Banglore,Kadugodi,1165,2,0,5463000
Banglore,Kadugodi,1590,3,0,7456999
Banglore,Kadugodi,1155,2,0,5416000
Banglore,Kadugodi,2495,3,0,11700000
Banglore,Kadugodi,1195,2,0,5604000
Banglore,Kadugodi,1530,3,0,7175000
Banglore,Kadugodi,1600,3,0,7504000
Banglore,Kadugodi,1200,2,0,5628000
Banglore,Nagarbhavi,884,2,0,5200000
Banglore,Nagarbhavi,884,2,0,5200000
Banglore,Kodigehalli,1120,2,1,6385000
Banglore,Banaswadi,1005,2,1,6531999
Banglore,Banaswadi,1455,3,1,9457000
Banglore,Banaswadi,1390,3,1,9035000
Banglore,Banaswadi,1025,2,1,6662000
Banglore,Banaswadi,1105,2,1,7181999
Banglore,Banaswadi,1135,2,1,7377000
Banglore,Whitefield Hope Farm Junction,1425,3,1,7125000
Banglore,Kodigehalli,1125,2,1,6389000
Banglore,Kodigehalli,1125,2,1,6459000
Banglore,ITPL,2021,3,1,11800000
Banglore,ITPL,1971,3,1,11500000
Banglore,ITPL,1354,2,1,7920000
Banglore,ITPL,1845,3,1,10700000
Banglore,ITPL,1823,3,1,10600000
Banglore,ITPL,1447,2,1,8464000
Banglore,ITPL,1399,2,1,8184000
Banglore,ITPL,1735,3,1,10100000
Banglore,ITPL,1398,2,1,8178000
Banglore,ITPL,1940,3,1,11299999
Banglore,ITPL,1743,3,1,10100000
Banglore,ITPL,1417,2,1,8289000
Banglore,ITPL,1343,2,1,7856000
Banglore,ITPL,1411,2,1,8254000
Banglore,ITPL,1337,2,1,7820999
Banglore,ITPL,2010,3,1,11700000
Banglore,ITPL,1797,3,1,10500000
Banglore,ITPL,1768,3,1,10300000
Banglore,JP Nagar Phase 8,990,2,0,4455000
Banglore,JP Nagar Phase 8,1090,2,0,4905000
Banglore,Vidyaranyapura,1250,2,1,5550000
Banglore,Vidyaranyapura,1012,2,1,4500000
Banglore,JP Nagar Phase 7,1987,3,0,20700000
Banglore,Sarjapur,1333,3,1,3999000
Banglore,Sarjapur,1174,3,1,3522000
Banglore,Sarjapur,958,2,1,2874000
Banglore,Attibele,1473,3,1,3682000
Banglore,Attibele,1371,3,1,3427000
Banglore,Attibele,1573,3,1,3932000
Banglore,Attibele,1529,3,1,3822000
Banglore,Attibele,995,2,1,2487000
Banglore,JP Nagar Phase 8,1240,3,0,5580000
Banglore,JP Nagar Phase 8,1140,3,0,5130000
Banglore,Nagarbhavi,884,2,0,4910000
Banglore,Nagarbhavi,884,2,0,4910000
Banglore,Electronic City Phase 1,1241,3,0,4342000
Banglore,Electronic City Phase 1,954,2,0,3338000
Banglore,Electronic City Phase 1,737,2,0,2578000
Banglore,Electronic City Phase 1,976,2,0,3415000
Banglore,Electronic City Phase 1,890,2,0,3114000
Banglore,Electronic City Phase 1,823,2,0,2879000
Banglore,Electronic City Phase 1,1282,3,0,4485000
Banglore,Electronic City Phase 1,893,2,0,3124000
Banglore,Electronic City Phase 1,1347,3,0,4713000
Banglore,Electronic City Phase 1,1291,2,0,4517000
Banglore,Electronic City Phase 1,1353,3,0,4734000
Banglore,Electronic City Phase 1,903,2,0,3159000
Banglore,Electronic City Phase 1,1206,3,0,4219000
Banglore,Electronic City Phase 1,1353,3,0,4734000
Banglore,Electronic City Phase 1,743,2,0,2578000
Banglore,Electronic City Phase 1,1042,2,0,3645000
Banglore,Electronic City Phase 1,1241,2,0,4342000
Banglore,Electronic City Phase 1,644,1,0,2253000
Banglore,Electronic City Phase 1,827,2,0,2893000
Banglore,Electronic City Phase 1,747,2,0,2614000
Banglore,Nagarbhavi,2000,3,0,10500000
Banglore,Electronic City Phase 1,1352,3,0,4867000
Banglore,Electronic City Phase 1,1352,3,0,4735000
Banglore,Electronic City Phase 1,737,2,0,2653000
Banglore,Electronic City Phase 1,795,2,0,2862000
Banglore,Electronic City Phase 1,954,2,0,3339000
Banglore,Electronic City Phase 1,823,2,0,2962000
Banglore,Electronic City Phase 1,823,2,0,2880000
Banglore,Electronic City Phase 1,644,1,0,2318000
Banglore,Electronic City Phase 1,644,2,0,2254000
Banglore,Electronic City Phase 1,644,1,0,2254000
Banglore,Electronic City Phase 1,826,2,0,2973000
Banglore,Electronic City Phase 1,1353,3,0,4870000
Banglore,Electronic City Phase 1,795,2,0,2781000
Banglore,Electronic City Phase 1,1347,3,0,4713000
Banglore,Electronic City Phase 1,747,2,0,2613000
Banglore,Electronic City Phase 1,1304,3,0,4562000
Banglore,Electronic City Phase 1,1367,2,0,4783000
Banglore,Electronic City Phase 1,1241,2,0,4342000
Banglore,Electronic City Phase 1,823,2,0,2879000
Banglore,Electronic City Phase 2,1370,3,0,5045000
Banglore,Electronic City Phase 2,1175,2,0,4362000
Banglore,Electronic City Phase 2,1500,3,0,5500000
Banglore,Electronic City Phase 2,1233,2,0,4565000
Banglore,Electronic City Phase 2,1100,2,0,4000000
Banglore,Electronic City Phase 2,1300,3,0,4800000
Banglore,Electronic City Phase 2,1210,2,0,4485000
Banglore,Electronic City Phase 2,1075,2,0,4011999
Banglore,Electronic City Phase 2,1220,2,0,4520000
Banglore,Electronic City Phase 2,1155,2,0,4292000
Banglore,Electronic City Phase 2,1280,3,0,4730000
Banglore,Electronic City Phase 2,1350,3,0,4975000
Banglore,Electronic City Phase 2,1330,3,0,4905000
Banglore,Electronic City Phase 2,1135,2,0,4222000
Banglore,Electronic City Phase 2,1070,2,0,3995000
Banglore,Nagarbhavi,1005,2,0,4700000
Banglore,Sarjapur,1193,3,1,3579000
Banglore,Sarjapur,1124,2,1,3372000
Banglore,Sarjapur,974,2,1,2922000
Banglore,Sarjapur,948,2,1,2844000
Banglore,Sarjapur,967,2,1,2901000
Banglore,Sarjapur,940,2,1,2820000
Banglore,Sarjapur,1486,3,1,4458000
Banglore,Sarjapur,1161,3,1,3483000
Banglore,Sarjapur,1233,3,1,3699000
Banglore,Sarjapur,1302,3,1,3906000
Banglore,Sarjapur,963,2,1,2889000
Banglore,Sarjapur,1143,2,1,3429000
Banglore,Sarjapur,1388,3,1,4164000
Banglore,Sarjapur,1128,2,1,3384000
Banglore,Attibele,1174,2,1,2935000
Banglore,Attibele,1639,3,1,4097000
Banglore,Attibele,1281,2,1,3202000
Banglore,Attibele,1147,2,1,2867000
Banglore,Attibele,1365,3,1,3411999
Banglore,Bommasandra,870,2,0,2436000
Banglore,Bommasandra,1000,2,0,2800000
Banglore,Chandapura,1075,3,0,3010000
Banglore,Chandapura,900,2,0,2520000
Banglore,Chandapura,1085,2,0,3038000
Banglore,Attibele,1075,3,0,3010000
Banglore,Ramamurthy Nagar,710,1,0,3177000
Banglore,Bellandur,1195,2,0,7200000
Banglore,Thanisandra,2360,3,1,20400000
Banglore,Thanisandra,2307,3,1,17600000
Banglore,JP Nagar Phase 7,2127,3,0,20200000
Banglore,Krishnarajapura,1040,2,1,4002000
Banglore,Krishnarajapura,1187,2,1,4568000
Banglore,Krishnarajapura,1054,2,1,4056000
Banglore,Krishnarajapura,1118,2,1,4303000
Banglore,Krishnarajapura,1117,2,1,4299000
Banglore,Krishnarajapura,1180,2,1,4541000
Banglore,Krishnarajapura,1094,2,1,4210000
Banglore,Krishnarajapura,1090,2,1,4195000
Banglore,Krishnarajapura,1098,2,1,4226000
Banglore,Krishnarajapura,1205,2,1,4638000
Banglore,Krishnarajapura,1221,3,1,4699000
Banglore,Krishnarajapura,1150,2,1,4426000
Banglore,Krishnarajapura,1020,2,1,3925000
Banglore,Krishnarajapura,1129,2,1,4345000
Banglore,Krishnarajapura,1062,2,1,4086999
Banglore,Krishnarajapura,1059,2,1,4076000
Banglore,Krishnarajapura,1058,2,1,4072000
Banglore,Krishnarajapura,1199,2,1,4614000
Banglore,Jigani,1448,3,1,4054000
Banglore,Jigani,1250,3,1,3500000
Banglore,Jigani,1488,3,1,4165999
Banglore,Jigani,1096,2,1,3068000
Banglore,Jigani,1491,3,1,4174000
Banglore,Jigani,1090,2,1,3052000
Banglore,Jigani,1102,2,1,3085000
Banglore,Jigani,1166,2,1,3264000
Banglore,Jigani,920,2,1,2576000
Banglore,Jigani,1142,2,1,3197000
Banglore,Jigani,1551,3,1,4342000
Banglore,Jigani,1135,2,1,3178000
Banglore,Marsur,1505,3,1,3913000
Banglore,Marsur,1370,3,1,3561999
Banglore,Jigani,1533,3,1,4292000
Banglore,Marsur,1115,2,1,2899000
Banglore,Marsur,1125,2,1,2925000
Banglore,Jigani,1066,2,1,2984000
Banglore,Marsur,1465,3,1,3809000
Banglore,Krishnarajapura,1675,3,1,6698000
Banglore,Krishnarajapura,1240,2,1,4958000
Banglore,Krishnarajapura,1240,2,1,4958000
Banglore,Krishnarajapura,1220,2,1,4878000
Banglore,Krishnarajapura,1220,2,1,4878000
Banglore,Krishnarajapura,1225,2,1,4898000
Banglore,Krishnarajapura,1225,2,1,4898000
Banglore,Krishnarajapura,1270,2,1,5078000
Banglore,Krishnarajapura,1270,2,1,5078000
Banglore,Kasavanahalli,1075,2,1,4500000
Banglore,Attibele,1075,3,0,3010000
Banglore,Attibele,870,2,0,2436000
Banglore,Attibele,1000,2,0,2800000
Banglore,Attibele,1210,3,0,3388000
Banglore,Attibele,900,2,0,2520000
Banglore,Attibele,1085,2,0,3038000
Banglore,Attibele,880,2,0,2464000
Banglore,Kasavanahalli,1075,2,1,4500000
Banglore,Varthur,1120,2,0,4928000
Banglore,Bommasandra,1185,3,0,4147000
Banglore,JP Nagar Phase 3,1373,3,0,7211000
Banglore,JP Nagar Phase 3,1109,2,0,5910000
Banglore,JP Nagar Phase 3,1415,3,0,7423000
Banglore,JP Nagar Phase 3,1782,3,0,9227000
Banglore,JP Nagar Phase 3,1383,3,0,7263000
Banglore,JP Nagar Phase 3,1227,2,0,6494000
